DATE,ADPWNUSNERSA
2018-11-24,124267000
2018-12-01,124163000
2018-12-08,124238000
2018-12-15,124395000
2018-12-22,124628000
2018-12-29,124574000
2019-01-05,124497000
2019-01-12,124413000
2019-01-19,124450000
2019-01-26,124455000
2019-02-02,124417000
2019-02-09,124398000
2019-02-16,124382000
2019-02-23,124374000
2019-03-02,124365000
2019-03-09,124413000
2019-03-16,124370000
2019-03-23,124395000
2019-03-30,124429000
2019-04-06,124392000
2019-04-13,124400000
2019-04-20,124382000
2019-04-27,124333000
2019-05-04,124349000
2019-05-11,124359000
2019-05-18,124362000
2019-05-25,124353000
2019-06-01,124398000
2019-06-08,124436000
2019-06-15,124458000
2019-06-22,124472000
2019-06-29,124475000
2019-07-06,124478000
2019-07-13,124474000
2019-07-20,124494000
2019-07-27,124470000
2019-08-03,124471000
2019-08-10,124442000
2019-08-17,124392000
2019-08-24,124344000
2019-08-31,124329000
2019-09-07,124336000
2019-09-14,124384000
2019-09-21,124380000
2019-09-28,124372000
2019-10-05,124351000
2019-10-12,124240000
2019-10-19,124192000
2019-10-26,124213000
2019-11-02,124153000
2019-11-09,124132000
2019-11-16,124125000
2019-11-23,124100000
2019-11-30,124235000
2019-12-07,124310000
2019-12-14,124218000
2019-12-21,124132000
2019-12-28,124108000
2020-01-04,123893000
2020-01-11,124000000
2020-01-18,124051000
2020-01-25,123923000
2020-02-01,124000000
2020-02-08,123943000
2020-02-15,123929000
2020-02-22,123839000
2020-02-29,123930000
2020-03-07,123956000
2020-03-14,123855000
2020-03-21,122982000
2020-03-28,121300000
2020-04-04,119600000
2020-04-11,117931000
2020-04-18,117010000
2020-04-25,116516000
2020-05-02,116209000
2020-05-09,116227000
2020-05-16,116294000
2020-05-23,116266000
2020-05-30,116328000
2020-06-06,116304000
2020-06-13,116296000
2020-06-20,116304000
2020-06-27,116296000
2020-07-04,116238000
2020-07-11,116106000
2020-07-18,116046000
2020-07-25,116050000
2020-08-01,115979000
2020-08-08,115991000
2020-08-15,115971000
2020-08-22,116032000
2020-08-29,116096000
2020-09-05,116246000
2020-09-12,116266000
2020-09-19,116270000
2020-09-26,116337000
2020-10-03,116428000
2020-10-10,116498000
2020-10-17,116627000
2020-10-24,116760000
2020-10-31,116790000
2020-11-07,116836000
2020-11-14,116807000
2020-11-21,116860000
2020-11-28,116937000
2020-12-05,117003000
2020-12-12,117082000
2020-12-19,117034000
2020-12-26,117046000
2021-01-02,116833000
2021-01-09,116998000
2021-01-16,116965000
2021-01-23,116909000
2021-01-30,116970000
2021-02-06,117058000
2021-02-13,117079000
2021-02-20,117085000
2021-02-27,117148000
2021-03-06,117233000
2021-03-13,117308000
2021-03-20,117365000
2021-03-27,117427000
2021-04-03,117490000
2021-04-10,117553000
2021-04-17,117609000
2021-04-24,117719000
2021-05-01,117836000
2021-05-08,117880000
2021-05-15,117929000
2021-05-22,118026000
2021-05-29,118198000
2021-06-05,118310000
2021-06-12,118412000
2021-06-19,118585000
2021-06-26,118861000
2021-07-03,119045000
2021-07-10,119302000
2021-07-17,119523000
2021-07-24,119724000
