,Close,Volume,CPI,USTS,DI,PP,IR,OP,CLF,EPU,GDP,UNEMP
2018-11-29,43.0835075378418,167080000.0,252.594,3.03,116.199,124267000.0,2.2,58.29,104047.0,183.21,61619.0,3.8
2018-11-30,42.8507537841797,158126000.0,252.594,3.01,116.4157,124267000.0,2.2,57.71,104047.0,136.43,61619.0,3.8
2018-12-01,42.8507537841797,158126000.0,252.594,3.01,116.4157,124267000.0,2.2,57.71,104047.0,136.43,61619.0,3.8
2018-12-02,42.8507537841797,158126000.0,252.594,3.01,116.4157,124267000.0,2.2,57.71,104047.0,136.43,61619.0,3.8
2018-12-03,44.3480644226074,163210000.0,252.767,2.98,115.9081,124163000.0,2.19,60.17,104131.0,158.49,61619.0,3.9
2018-12-04,42.3972473144531,165377200.0,252.767,2.91,116.0051,124163000.0,2.2,61.22,104131.0,109.29,61619.0,3.9
2018-12-05,42.3972473144531,165377200.0,252.767,2.91,116.0051,124163000.0,2.2,61.22,104131.0,109.29,61619.0,3.9
2018-12-06,41.9245414733887,172393600.0,252.767,2.87,116.4019,124163000.0,2.2,57.83,104131.0,110.19,61619.0,3.9
2018-12-07,40.4296379089356,169126400.0,252.767,2.85,116.0875,124163000.0,2.19,61.71,104131.0,101.45,61619.0,3.9
2018-12-08,40.4296379089356,169126400.0,252.767,2.85,116.0875,124163000.0,2.19,61.71,104131.0,101.45,61619.0,3.9
2018-12-09,40.4296379089356,169126400.0,252.767,2.85,116.0875,124163000.0,2.19,61.71,104131.0,101.45,61619.0,3.9
2018-12-10,40.6959838867188,248104000.0,252.767,2.85,116.6775,124238000.0,2.2,60.29,104131.0,71.08,61619.0,3.9
2018-12-11,40.4632263183594,189126800.0,252.767,2.89,116.7591,124238000.0,2.19,59.73,104131.0,88.44,61619.0,3.9
2018-12-12,40.5760002136231,142510800.0,252.767,2.91,116.2241,124238000.0,2.19,59.94,104131.0,57.97,61619.0,3.9
2018-12-13,41.0199089050293,127594400.0,252.767,2.91,116.4003,124238000.0,2.19,59.03,104131.0,121.67,61619.0,3.9
2018-12-14,39.7073669433594,162814800.0,252.767,2.89,116.7927,124238000.0,2.19,58.56,104131.0,86.56,61619.0,3.9
2018-12-15,39.7073669433594,162814800.0,252.767,2.89,116.7927,124238000.0,2.19,58.56,104131.0,86.56,61619.0,3.9
2018-12-16,39.7073669433594,162814800.0,252.767,2.89,116.7927,124238000.0,2.19,58.56,104131.0,86.56,61619.0,3.9
2018-12-17,39.3378562927246,177151600.0,252.767,2.86,116.456,124395000.0,2.2,57.59,104131.0,101.75,61619.0,3.9
2018-12-18,39.8489418029785,135366000.0,252.767,2.82,116.4158,124395000.0,2.2,55.26,104131.0,103.24,61619.0,3.9
2018-12-19,38.6059875488281,196189200.0,252.767,2.77,116.0708,124395000.0,2.2,55.6,104131.0,114.17,61619.0,3.9
2018-12-20,37.631778717041,259092000.0,252.767,2.79,116.0215,124395000.0,2.4,52.84,104131.0,79.38,61619.0,3.9
2018-12-21,36.1680679321289,382978400.0,252.767,2.79,116.2257,124395000.0,2.4,51.93,104131.0,144.91,61619.0,3.9
2018-12-22,36.1680679321289,382978400.0,252.767,2.79,116.2257,124395000.0,2.4,51.93,104131.0,144.91,61619.0,3.9
