,Close,Volume,DI,OP,EPU
2018-11-29,43.0835075378418,167080000.0,116.199,58.29,183.21
2018-11-30,42.8507537841797,158126000.0,116.4157,57.71,136.43
2018-12-01,42.8507537841797,158126000.0,116.4157,57.71,136.43
2018-12-02,42.8507537841797,158126000.0,116.4157,57.71,136.43
2018-12-03,44.3480644226074,163210000.0,115.9081,60.17,158.49
2018-12-04,42.3972473144531,165377200.0,116.0051,61.22,109.29
2018-12-05,42.3972473144531,165377200.0,116.0051,61.22,109.29
2018-12-06,41.9245414733887,172393600.0,116.4019,57.83,110.19
2018-12-07,40.4296379089356,169126400.0,116.0875,61.71,101.45
2018-12-08,40.4296379089356,169126400.0,116.0875,61.71,101.45
2018-12-09,40.4296379089356,169126400.0,116.0875,61.71,101.45
2018-12-10,40.6959838867188,248104000.0,116.6775,60.29,71.08
2018-12-11,40.4632263183594,189126800.0,116.7591,59.73,88.44
2018-12-12,40.5760002136231,142510800.0,116.2241,59.94,57.97
2018-12-13,41.0199089050293,127594400.0,116.4003,59.03,121.67
2018-12-14,39.7073669433594,162814800.0,116.7927,58.56,86.56
2018-12-15,39.7073669433594,162814800.0,116.7927,58.56,86.56
2018-12-16,39.7073669433594,162814800.0,116.7927,58.56,86.56
2018-12-17,39.3378562927246,177151600.0,116.456,57.59,101.75
2018-12-18,39.8489418029785,135366000.0,116.4158,55.26,103.24
2018-12-19,38.6059875488281,196189200.0,116.0708,55.6,114.17
2018-12-20,37.631778717041,259092000.0,116.0215,52.84,79.38
2018-12-21,36.1680679321289,382978400.0,116.2257,51.93,144.91
2018-12-22,36.1680679321289,382978400.0,116.2257,51.93,144.91
2018-12-23,36.1680679321289,382978400.0,116.2257,51.93,144.91
2018-12-24,35.2322616577148,148676800.0,116.2212,51.93,141.79
2018-12-25,35.2322616577148,148676800.0,116.2212,51.93,141.79
2018-12-26,37.7133636474609,234330000.0,116.1192,51.93,198.19
2018-12-27,37.4686279296875,212468400.0,115.9957,51.49,161.1
2018-12-28,37.4878234863281,169165600.0,115.7262,50.57,156.65
2018-12-29,37.4878234863281,169165600.0,115.7262,50.57,156.65
2018-12-30,37.4878234863281,169165600.0,115.7262,50.57,156.65
2018-12-31,37.8501396179199,140014000.0,115.5703,50.57,149.82
2019-01-01,37.8501396179199,140014000.0,115.5703,50.57,149.82
2019-01-02,37.8933334350586,148158800.0,115.7712,54.06,146.97
2019-01-03,34.1188735961914,365248800.0,115.4647,53.23,212.58
2019-01-04,35.5753898620606,234428400.0,114.9848,55.64,153.15
2019-01-05,35.5753898620606,234428400.0,114.9848,55.64,153.15
2019-01-06,35.5753898620606,234428400.0,114.9848,55.64,153.15
2019-01-07,35.496208190918,219111200.0,114.5656,57.1,148.61
2019-01-08,36.1728744506836,164101200.0,114.7308,56.91,259.25
2019-01-09,36.7871513366699,180396400.0,114.143,59.46,120.42
2019-01-10,36.9047317504883,143122800.0,114.0515,60.47,148.84
2019-01-11,36.5424003601074,108092800.0,114.0419,59.24,170.68
2019-01-12,36.5424003601074,108092800.0,114.0419,59.24,170.68
2019-01-13,36.5424003601074,108092800.0,114.0419,59.24,170.68
2019-01-14,35.9929084777832,129756800.0,114.0419,58.8,223.58
2019-01-15,36.7295608520508,114843600.0,114.341,58.65,104.39
2019-01-16,37.1782760620117,122278800.0,114.1377,59.81,173.46
2019-01-17,37.3990211486816,119284800.0,114.4123,59.85,168.92
2019-01-18,37.6293869018555,135004000.0,114.5591,62.04,154.17
2019-01-19,37.6293869018555,135004000.0,114.5591,62.04,154.17
2019-01-20,37.6293869018555,135004000.0,114.5591,62.04,154.17
2019-01-21,37.6293869018555,135004000.0,114.5591,62.04,154.17
2019-01-22,36.7847480773926,121576000.0,114.7551,60.9,107.95
2019-01-23,36.9335174560547,92522400.0,114.5768,61.05,88.26
2019-01-24,36.6407699584961,101766000.0,114.6177,61.09,106.06
2019-01-25,37.8549385070801,134142000.0,114.0204,61.49,105.17
2019-01-26,37.8549385070801,134142000.0,114.0204,61.49,105.17
2019-01-27,37.8549385070801,134142000.0,114.0204,61.49,105.17
